id,user_id,item_id,rating,rating_date
71,15,87,4,2024-06-05
72,15,88,5,2024-06-12
73,15,173,4,2024-06-20
74,16,11,5,2024-06-15
75,16,123,5,2024-06-22
76,16,124,5,2024-06-28
77,16,125,4,2024-07-05
78,17,2,4,2024-07-02
79,17,12,5,2024-07-08
80,17,29,5,2024-07-15
81,17,31,4,2024-07-22
82,18,22,5,2024-07-20
83,18,242,4,2024-07-28
84,18,221,5,2024-08-05
85,18,222,5,2024-08-12
86,19,15,5,2024-08-10
87,19,18,5,2024-08-15
88,19,246,4,2024-08-22
89,19,247,5,2024-08-28
90,20,1,5,2024-08-25
91,20,28,4,2024-09-01
92,20,32,5,2024-09-08
93,20,33,4,2024-09-15
94,21,26,5,2024-01-12
95,21,27,5,2024-01-18
96,21,30,4,2024-01-25
97,21,202,5,2024-02-01
98,22,12,5,2024-02-02
99,22,31,5,2024-02-10
100,22,32,4,2024-02-18
101,22,203,5,2024-02-25
102,23,3,5,2024-02-18
103,23,4,4,2024-02-25
104,23,52,5,2024-03-05
105,23,166,4,2024-03-12
106,24,5,5,2024-03-08
107,24,6,5,2024-03-15
108,24,40,4,2024-03-22
109,24,238,5,2024-03-29
110,25,53,5,2024-03-22
111,25,54,4,2024-03-29
112,25,55,5,2024-04-05
113,25,165,4,2024-04-12
114,26,24,5,2024-04-08
115,26,234,5,2024-04-15
116,26,237,4,2024-04-22
117,26,240,5,2024-04-29
118,27,27,5,2024-04-25
119,27,30,4,2024-05-02
120,27,56,5,2024-05-10
121,27,57,5,2024-05-18
122,28,43,5,2024-05-12
123,28,44,5,2024-05-19
124,28,45,4,2024-05-26
125,28,160,5,2024-06-02
126,29,87,5,2024-05-29
127,29,88,4,2024-06-05
128,29,173,5,2024-06-12
129,29,174,4,2024-06-19
130,30,15,5,2024-06-17
131,30,18,5,2024-06-24
132,30,21,4,2024-07-01
133,30,232,5,2024-07-08
134,31,129,5,2024-07-04
135,31,130,5,2024-07-11
136,31,131,5,2024-07-18
137,31,250,4,2024-07-25
138,32,7,5,2024-07-19
139,32,66,5,2024-07-26
140,32,67,4,2024-08-02
141,32,68,5,2024-08-09
142,33,9,5,2024-08-05
143,33,71,5,2024-08-12
144,33,72,4,2024-08-19
145,33,73,5,2024-08-26
146,34,22,5,2024-08-17
147,34,145,4,2024-08-24
148,34,141,5,2024-08-31
149,34,142,4,2024-09-07
150,35,3,5,2024-09-01
151,35,4,5,2024-09-08
152,35,52,4,2024-09-15
153,35,53,5,2024-09-22
154,36,1,5,2024-01-27
155,36,13,5,2024-02-03
156,36,28,4,2024-02-10
157,36,201,5,2024-02-17
158,37,54,5,2024-02-13
159,37,55,5,2024-02-20
160,37,56,4,2024-02-27
161,37,165,5,2024-03-05
162,38,11,5,2024-03-01
163,38,123,5,2024-03-08
164,38,124,4,2024-03-15
165,38,125,5,2024-03-22
166,39,87,5,2024-03-19
167,39,88,4,2024-03-26
168,39,89,5,2024-04-02
169,39,90,5,2024-04-09
170,40,31,5,2024-04-05
171,40,32,5,2024-04-12
172,40,33,4,2024-04-19
173,40,169,5,2024-04-26
174,41,53,5,2024-04-22
175,41,54,4,2024-04-29
176,41,166,5,2024-05-06
177,41,167,5,2024-05-13
178,42,5,5,2024-05-09
179,42,6,5,2024-05-16
180,42,40,4,2024-05-23
181,42,238,5,2024-05-30
182,43,2,5,2024-05-26
183,43,12,5,2024-06-02
184,43,29,4,2024-06-09
185,43,37,5,2024-06-16
186,44,24,5,2024-06-12
187,44,25,4,2024-06-19
188,44,234,5,2024-06-26
189,44,240,5,2024-07-03
190,45,165,5,2024-06-29
191,45,166,4,2024-07-06
192,45,173,5,2024-07-13
193,45,174,5,2024-07-20
194,46,15,5,2024-07-16
195,46,18,5,2024-07-23
196,46,246,4,2024-07-30
197,46,247,5,2024-08-06
198,47,3,5,2024-08-02
199,47,4,5,2024-08-09
200,47,52,4,2024-08-16
201,47,53,5,2024-08-23
202,48,129,5,2024-08-19
203,48,130,5,2024-08-26
204,48,131,5,2024-09-02
205,48,132,4,2024-09-09
206,49,54,5,2024-09-04
207,49,55,4,2024-09-11
208,49,165,5,2024-09-18
209,49,166,5,2024-09-25
210,50,7,5,2024-01-19
211,50,66,5,2024-01-26
212,50,67,4,2024-02-02
213,50,68,5,2024-02-09
214,51,103,5,2024-02-06
215,51,104,5,2024-02-13
216,51,105,4,2024-02-20
217,51,106,5,2024-02-27
218,52,1,5,2024-02-23
219,52,26,5,2024-03-01
220,52,28,4,2024-03-08
221,52,13,5,2024-03-15
222,53,87,5,2024-03-12
223,53,88,4,2024-03-19
224,53,89,5,2024-03-26
225,53,181,5,2024-04-02
226,54,31,5,2024-03-29
227,54,32,5,2024-04-05
228,54,169,4,2024-04-12
229,54,170,5,2024-04-19
230,55,27,5,2024-04-15
231,55,30,4,2024-04-22
232,55,56,5,2024-04-29
233,55,57,5,2024-05-06
234,56,43,5,2024-05-02
235,56,44,5,2024-05-09
236,56,45,4,2024-05-16
237,56,160,5,2024-05-23
238,57,2,5,2024-05-19
239,57,12,5,2024-05-26
240,57,29,4,2024-06-02
241,57,37,5,2024-06-09
242,58,22,5,2024-06-05
243,58,145,5,2024-06-12
244,58,141,4,2024-06-19
245,58,143,5,2024-06-26
246,59,11,5,2024-06-22
247,59,123,5,2024-06-29
248,59,124,4,2024-07-06
249,59,125,5,2024-07-13
250,60,24,5,2024-07-09
251,60,25,4,2024-07-16
252,60,234,5,2024-07-23
253,60,240,5,2024-07-30
254,61,165,5,2024-07-26
255,61,166,4,2024-08-02
256,61,167,5,2024-08-09
257,61,168,5,2024-08-16
258,62,15,5,2024-08-12
259,62,18,5,2024-08-19
260,62,21,4,2024-08-26
261,62,232,5,2024-09-02
262,63,53,5,2024-08-29
263,63,54,4,2024-09-05
264,63,55,5,2024-09-12
265,63,165,5,2024-09-19
266,64,1,5,2024-01-25
267,64,13,5,2024-02-01
268,64,26,4,2024-02-08
269,64,201,5,2024-02-15
270,65,27,5,2024-02-11
271,65,30,4,2024-02-18
272,65,56,5,2024-02-25
273,65,57,5,2024-03-03
274,66,31,5,2024-02-28
275,66,32,5,2024-03-06
276,66,169,4,2024-03-13
277,66,170,5,2024-03-20
278,67,3,5,2024-03-17
279,67,4,5,2024-03-24
280,67,52,4,2024-03-31
281,67,53,5,2024-04-07
282,68,5,5,2024-04-03
283,68,6,5,2024-04-10
284,68,40,4,2024-04-17
285,68,238,5,2024-04-24
286,69,54,5,2024-04-20
287,69,55,4,2024-04-27
288,69,165,5,2024-05-04
289,69,166,5,2024-05-11
290,70,12,5,2024-05-07
291,70,29,5,2024-05-14
292,70,31,4,2024-05-21
293,70,37,5,2024-05-28
294,71,87,5,2024-05-24
295,71,88,4,2024-05-31
296,71,173,5,2024-06-07
297,71,174,5,2024-06-14
298,72,11,5,2024-06-10
299,72,123,5,2024-06-17
300,72,124,4,2024-06-24
301,72,126,5,2024-07-01
302,73,129,5,2024-06-27
303,73,130,5,2024-07-04
304,73,131,5,2024-07-11
305,73,250,4,2024-07-18
306,74,24,5,2024-07-14
307,74,234,5,2024-07-21
308,74,237,4,2024-07-28
309,74,240,5,2024-08-04
310,75,15,5,2024-07-31
311,75,18,5,2024-08-07
312,75,246,4,2024-08-14
313,75,247,5,2024-08-21
314,76,3,5,2024-08-17
315,76,4,5,2024-08-24
316,76,52,4,2024-08-31
317,76,166,5,2024-09-07
318,77,22,5,2024-09-03
319,77,145,4,2024-09-10
320,77,141,5,2024-09-17
321,77,142,5,2024-09-24
322,78,87,5,2024-01-29
323,78,88,4,2024-02-05
324,78,173,5,2024-02-12
325,78,174,5,2024-02-19
326,79,43,5,2024-02-15
327,79,44,5,2024-02-22
328,79,45,4,2024-02-29
329,79,160,5,2024-03-07
330,80,54,5,2024-03-03
331,80,55,4,2024-03-10
332,80,165,5,2024-03-17
333,80,166,5,2024-03-24
334,1,46,5,2024-04-15
335,1,47,4,2024-05-20
336,2,111,5,2024-05-10
337,2,112,4,2024-06-15
338,3,136,5,2024-06-20
339,3,137,5,2024-07-25
340,4,169,4,2024-06-18
341,4,170,5,2024-07-22
342,5,187,5,2024-07-10
343,5,188,5,2024-08-15
344,6,169,5,2024-08-05
345,6,170,4,2024-09-10
346,7,126,5,2024-09-15
347,7,127,5,2024-10-20
348,8,233,5,2024-10-05
349,8,245,4,2024-10-25
350,9,202,5,2024-03-25
351,9,205,4,2024-04-28
352,10,103,5,2024-04-22
353,10,104,4,2024-05-26
354,11,158,5,2024-05-15
355,11,159,4,2024-06-20
356,12,154,5,2024-05-28
357,12,155,4,2024-07-02
358,13,178,5,2024-06-25
359,13,179,4,2024-07-30
360,14,241,5,2024-07-08
361,14,242,4,2024-08-12
362,15,182,5,2024-08-01
363,15,183,4,2024-09-05
364,16,126,5,2024-08-15
365,16,127,4,2024-09-20
366,17,171,5,2024-09-02
367,17,172,4,2024-10-08
368,18,248,5,2024-09-18
369,18,249,4,2024-10-22
370,19,233,5,2024-10-12
371,19,245,4,2024-10-28
372,20,169,5,2024-10-20
373,20,170,4,2024-10-30
374,21,204,5,2024-03-15
375,21,206,4,2024-04-20
376,22,207,5,2024-04-05
377,22,213,4,2024-05-10
378,23,161,5,2024-04-25
379,23,162,4,2024-05-30
380,24,154,5,2024-05-18
381,24,155,4,2024-06-22
382,25,163,5,2024-05-28
383,25,164,4,2024-07-02
384,26,239,5,2024-06-12
385,26,241,4,2024-07-18
386,27,171,5,2024-07-05
387,27,172,4,2024-08-10
388,28,198,5,2024-07-22
389,28,199,4,2024-08-26
390,29,178,5,2024-08-08
391,29,179,4,2024-09-12
392,30,229,5,2024-08-25
393,30,230,4,2024-09-28
394,31,133,5,2024-09-10
395,31,134,4,2024-10-15
396,32,197,5,2024-10-02
397,32,198,4,2024-10-25
398,33,192,5,2024-10-18
399,33,193,4,2024-10-30
400,34,194,5,2024-10-28
401,35,195,4,2024-10-30
402,36,202,5,2024-04-08
403,37,172,4,2024-04-18
404,38,128,5,2024-05-02
405,39,175,4,2024-05-22
406,40,176,5,2024-06-08
407,41,177,4,2024-06-28
408,42,156,5,2024-07-15
409,43,157,4,2024-08-05
410,44,239,5,2024-08-22
411,45,180,4,2024-09-08
412,46,231,5,2024-09-25
413,47,158,4,2024-10-10
414,48,133,5,2024-10-22
415,49,172,4,2024-10-30
416,50,197,5,2024-03-28
417,51,198,4,2024-04-12
418,52,204,5,2024-05-05
419,53,182,4,2024-05-25
420,54,171,5,2024-06-18
421,55,172,4,2024-07-08
422,56,198,5,2024-07-28
423,57,171,4,2024-08-18
424,58,194,5,2024-09-05
425,59,128,4,2024-09-22
426,60,239,5,2024-10-12
427,61,180,4,2024-10-28
428,62,231,5,2024-03-20
429,63,172,4,2024-04-05
430,64,205,5,2024-04-25
431,65,171,4,2024-05-15
432,66,172,5,2024-06-05
433,67,158,4,2024-06-25
434,68,239,5,2024-07-15
435,69,172,4,2024-08-05
436,70,171,5,2024-08-25
437,71,180,4,2024-09-15
438,72,128,5,2024-10-05
439,73,133,4,2024-10-25
440,74,241,5,2024-03-12
441,75,248,4,2024-04-02
442,76,159,5,2024-04-22
443,77,195,4,2024-05-12
444,78,182,5,2024-06-02
445,79,199,4,2024-06-22
446,80,172,5,2024-07-12
447,1,233,5,2024-10-28
448,2,245,4,2024-10-30
449,3,248,5,2024-10-30
450,4,249,4,2024-10-31
